x,y,z
-94.546167,217.460707,14.932545
-94.231735,216.733882,15.021485
-93.910038,216.001345,15.111339
-93.581176,215.263132,15.202101
-93.245245,214.519273,15.293767
-92.902344,213.769802,15.386331
-92.552571,213.014752,15.479787
-92.196023,212.254154,15.574128
-91.832799,211.488043,15.669350
-91.462996,210.716450,15.765445
-91.086712,209.939408,15.862407
-90.704046,209.156951,15.960230
-90.315095,208.369110,16.058907
-89.919956,207.575918,16.158431
-89.518729,206.777409,16.258795
-89.111511,205.973614,16.359992
-88.698399,205.164567,16.462015
-88.279493,204.350300,16.564857
-87.854889,203.530846,16.668510
-87.424685,202.706237,16.772966
-86.988980,201.876507,16.878219
-86.547871,201.041688,16.984260
-86.101457,200.201812,17.091082
-85.649835,199.356913,17.198677
-85.193103,198.507023,17.307037
-84.731359,197.652175,17.416154
-84.264702,196.792402,17.526020
-83.793228,195.927735,17.636628
-83.317036,195.058209,17.747968
-82.836223,194.183855,17.860034
-82.350889,193.304707,17.972816
-81.861130,192.420796,18.086307
-81.367044,191.532157,18.200498
-80.868730,190.638821,18.315381
-80.366285,189.740821,18.430948
-79.859808,188.838190,18.547189
-79.349395,187.930960,18.664097
-78.835146,187.019165,18.781664
-78.317158,186.102837,18.899880
-77.795529,185.182008,19.018738
-77.270356,184.256712,19.138228
-76.741739,183.326981,19.258343
-76.209774,182.392847,19.379073
-75.674559,181.454345,19.500410
-75.136193,180.511505,19.622346
-74.594774,179.564361,19.744871
-74.050399,178.612946,19.867978
-73.503166,177.657292,19.991657
-72.953174,176.697432,20.103129
-72.400519,175.733399,20.214176
-71.845301,174.765226,20.325710
-71.287616,173.792944,20.437722
-70.727564,172.816588,20.550205
-70.165241,171.836188,20.663152
-69.600746,170.851779,20.776554
-69.034177,169.863393,20.890404
-68.465631,168.871063,21.004694
-67.895206,167.874821,21.119417
-67.323001,166.874700,21.234564
-66.749113,165.870733,21.350129
-66.173641,164.862952,21.466103
-65.596681,163.851391,21.582479
-65.018333,162.836081,21.699249
-64.438694,161.817056,21.816406
-63.857861,160.794348,21.933941
-63.275933,159.767990,22.051848
-62.693009,158.738015,22.170118
-62.109184,157.704455,22.288745
-61.524558,156.667344,22.407720
-60.939229,155.626713,22.527035
-60.353294,154.582595,22.646685
-59.766852,153.535024,22.766660
-59.179999,152.484032,22.886953
-58.592835,151.429651,23.007558
-58.005457,150.371915,23.128466
-57.417963,149.310855,23.249670
-56.830451,148.246506,23.371162
-56.243018,147.178898,23.492936
-55.655764,146.108066,23.614984
-55.068785,145.034042,23.737298
-54.482179,143.956858,23.859872
-53.896046,142.876548,23.982698
-53.310481,141.793143,24.105768
-52.725584,140.706677,24.229076
-52.141452,139.617183,24.352615
-51.558183,138.524692,24.476377
-50.975876,137.429239,24.600355
-50.394627,136.330854,24.724542
